short,long,atr_len,stop_atr,take_profit_r1,take_profit_frac1,breakeven_r,take_profit_r,giveback_k,prefer_giveback,allow_long,allow_short,n_trades,realized_return_pct,cagr,max_dd_pct,dd_multiple,calmar,sharpe_ann,profit_factor,win_rate_pct,avg_hold_hours,total_slip,avg_slip_pct,k,k_scale,train_bars,test_bars,train_start_dt,train_end_dt,test_start_dt,test_end_dt
58,336,50,2.75,1.0,0.5,1.25,1.75,4.5,False,True,False,11,4.791731044689932,0.10193367730377023,2.40952623038183,0.0240952623038183,4.230444807717122,0.7263790646822936,1.8315375158428369,63.63636363636363,36.36363636363637,449.3885013622479,0.18301664104733725,673.1510377231501,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,50,2.5,1.0,0.6,1.0,1.75,4.5,False,True,False,11,4.830083654612991,0.102770221513931,2.5331171647109105,0.025331171647109105,4.057065458543824,0.7556071698239598,1.824909023609062,72.72727272727273,28.181818181818183,457.4728539906386,0.18531350494275367,675.1085397332013,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,50,2.75,1.0,0.5,1.25,2.0,4.5,False,True,False,11,4.827378783275781,0.10271121229183633,2.6165549183042596,0.026165549183042595,3.9254369007626853,0.7142054603315027,1.8219790187206335,63.63636363636363,36.45454545454546,478.18081633041095,0.19447446385515266,714.2261926106131,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,50,2.5,1.0,0.5,1.0,1.75,4.5,False,True,False,11,4.862398713319307,0.1034753302909206,2.636828973739713,0.02636828973739713,3.924233665567074,0.7514999124805614,1.8286771070360464,72.72727272727273,28.181818181818183,453.22690313975323,0.1853201281562443,674.3988242771411,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,50,2.5,1.0,0.6,1.0,2.25,4.5,False,True,False,11,4.345486072584135,0.09222437684979878,2.5217939264535056,0.025217939264535055,3.6570940980692037,0.6233437609603444,1.7304452668458676,72.72727272727273,31.27272727272727,493.0035391117937,0.1998929844028283,732.3668428356934,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,50,2.5,1.0,0.5,1.0,2.25,4.5,False,True,False,11,4.350093391872907,0.09232439458161235,2.5700123221476816,0.025700123221476814,3.5923716702050537,0.60716593650312,1.7294931927373995,72.72727272727273,31.27272727272727,488.23179976264925,0.1998940487743606,732.2927331044123,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,50,2.5,1.0,0.6,1.0,2.0,4.5,False,True,False,11,4.08534299342642,0.08658476827558248,2.5252937694541426,0.025252937694541427,3.428700823757954,0.5702765647394398,1.6882117041063673,72.72727272727273,31.181818181818183,492.65343623834985,0.20018705260880837,735.1125232159826,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,50,2.5,1.0,0.5,1.0,2.0,4.5,False,True,False,11,4.025492546626501,0.08528941709723092,2.5745650694395854,0.025745650694395855,3.312769916349256,0.5427190792948334,1.6768782744863573,72.72727272727273,31.181818181818183,487.8213398673471,0.20027705799418155,735.7825037664581,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,50,2.5,1.0,0.6,1.25,1.75,4.5,False,True,False,11,4.222287427417905,0.08955168475477882,2.767698281528407,0.02767698281528407,3.235601414809047,0.6008216955744106,1.7121580720253429,63.63636363636363,33.090909090909086,451.04611687974716,0.18321666127092273,671.3567551992359,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,50,2.5,1.0,0.6,1.25,2.25,4.5,False,True,False,11,3.7403204131712484,0.07912838614019146,2.7813094901165116,0.027813094901165118,2.845004715274484,0.4712405330071444,1.618311108526411,63.63636363636363,36.18181818181818,486.48217412852154,0.19778999207095527,728.8827266281365,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
